"exp","Training","Testing","Analysis"
"exp001_10_IDVYEAR_FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2'","'HINTS_5c1'","FC"
"exp001_10_IDVYEAR_LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2'","'HINTS_5c1'","LSTM"
"exp001_10_IDVYEAR_GLV-LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2'","'HINTS_5c1'","GLV-LSTM"
"exp001_10_IDVYEAR_GLV-FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2'","'HINTS_5c1'","GLV-FC"
"exp001_11_IDVYEAR_LR","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1'","'HINTS_5c2'","LR"
"exp001_11_IDVYEAR_RFC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1'","'HINTS_5c2'","RFC"
"exp001_11_IDVYEAR_FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1'","'HINTS_5c2'","FC"
"exp001_11_IDVYEAR_LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1'","'HINTS_5c2'","LSTM"
"exp001_11_IDVYEAR_GLV-LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1'","'HINTS_5c2'","GLV-LSTM"
"exp001_11_IDVYEAR_GLV-FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR','HINTS_4c1','HINTS_4c2','HINTS_4c3','HINTS_4c4','HINTS_FDA','HINTS_FDA_2','HINTS_5c1'","'HINTS_5c2'","GLV-FC"
